id;name;image;search;twitter;twitter2;instagram
113;Marisa Paredes;marisa-paredes;Marisa Paredes;;;
114;Mar Saura;mar-saura.jpg;Mar Saura, marsaura;https://twitter.com/marsaura;;http://instagram.com/marsaura
115;Candela Peña;candela-pena.jpg;Candela Peña;;;
116;Carlos Areces;carlos-areces.jpg;Carlos Areces;;;
117;Eva Hache;eva-hache.jpg;Eva Hache, eva_hache;https://twitter.com/eva_hache;;
118;Amaia Salamanca;amaia-salamanca.jpg;Amaia Salamanca, AmaiawebOficial;https://twitter.com/AmaiawebOficial;;
119;Natasha Yarovenko;natasha-yarovenko.jpg;Natasha Yarovenko, NatYarovenko;https://twitter.com/NatYarovenko;;
120;Santiago Segura;santiago-segura.jpg;Santiago Segura, SSantiagosegura;https://twitter.com/SSantiagosegura;;http://instagram.com/ssantiagosegura
121;Rossy de Palma;rossy-depalma.jpg;Rossy de Palma, rossydpalma;https://twitter.com/rossydpalma;;http://instagram.com/rossydpalma
122;Ana de Armas;ana-dearmas.jpg;Ana de Armas;;;http://instagram.com/ana_d_armas
123;Unax Ugalde;;Unax Ugalde, unaxugalde;https://twitter.com/unaxugalde;;
124;Miriam Díaz-Aroca;miriam-diaz-aroca.jpg;Miriam Díaz-Aroca, MiriamDiazAroca;https://twitter.com/MiriamDiazAroca;;
125;Nerea Garmendia;nerea-garmendia.jpg;Nerea Garmendia, nereagarmendia9;https://twitter.com/nereagarmendia9;;http://instagram.com/nerea_garmendia
126;Jesús Olmedo;jesus-olmedo.jpg;Jesús Olmedo, _JesusOlmedo;https://twitter.com/_JesusOlmedo;;
127;GHD;;GHD, ghdspain;https://twitter.com/ghdspain;;http://instagram.com/ghdspain
128;LOréal Professionnel;;LOréal Professionnel, loreal_profess;https://twitter.com/loreal_profess;;http://instagram.com/lorealparis_es
129;Víctor Blanco;;Víctor Blanco. VB_VictorBlanco;https://twitter.com/VB_VictorBlanco;;http://instagram.com/Victorblancolobe
130;Diana Aller;;Diana Aller, DianaAller;https://twitter.com/DianaAller;;
131;Joyería Yanes;;Joyería Yanes;;;http://instagram.com/joyeriayanes
132;Salón Cheska;;Salón Cheska;;;http://instagram.com/saloncheska
